atom_id,molecule_id,element,type,charge
d102_27,d102,o,40,-0.389
d102_28,d102,o,40,-0.39
d102_29,d102,o,40,-0.39
d102_3,d102,c,22,0.111
d102_30,d102,o,40,-0.39
d102_4,d102,c,29,0.011
d102_5,d102,c,22,-0.119
d102_6,d102,c,22,-0.119
d102_7,d102,h,3,0.141
d102_8,d102,h,3,0.141
d102_9,d102,c,22,0.111
d103_1,d103,c,22,-0.118
d103_10,d103,c,22,-0.118
d103_11,d103,c,22,-0.118
d103_12,d103,c,27,0.012
d103_13,d103,c,27,-0.088
d103_14,d103,h,3,0.141
d103_15,d103,h,3,0.142
d103_16,d103,c,27,0.012
d103_17,d103,c,22,-0.118
d103_18,d103,c,22,-0.118
d103_19,d103,h,3,0.141
d103_2,d103,c,22,-0.118
d103_20,d103,h,3,0.142
d103_21,d103,c,22,-0.118
d103_22,d103,c,22,-0.118
d103_23,d103,c,22,-0.118
d103_24,d103,h,3,0.142
d103_25,d103,h,3,0.142
d103_26,d103,n,38,0.811
d103_27,d103,o,40,-0.389
d103_28,d103,o,40,-0.389
d103_3,d103,c,27,0.012
d103_4,d103,c,27,-0.088
d103_5,d103,c,27,0.012
d103_6,d103,c,22,-0.118
d103_7,d103,h,3,0.141
d103_8,d103,h,3,0.142
d103_9,d103,h,3,0.142
d104_1,d104,c,22,-0.121
d104_10,d104,c,27,-0.091
d104_11,d104,c,27,0.009
d104_12,d104,c,22,0.009
d104_13,d104,c,22,0.009
d104_14,d104,c,22,-0.121
d104_15,d104,c,22,-0.121
d104_16,d104,c,22,-0.122
d104_17,d104,c,10,-0.091
d104_18,d104,c,10,-0.091
d104_19,d104,c,10,-0.091
d104_2,d104,c,22,-0.121
d104_20,d104,c,10,-0.091
d104_21,d104,n,38,0.808
d104_22,d104,o,40,-0.392
d104_23,d104,o,40,-0.392
d104_24,d104,h,3,0.138
d104_25,d104,h,3,0.138
d104_26,d104,h,3,0.138
d104_27,d104,h,3,0.138
d104_28,d104,h,3,0.138
d104_29,d104,h,3,0.138
d104_3,d104,c,27,0.009
d104_30,d104,h,3,0.138
d104_31,d104,h,3,0.059
d104_32,d104,h,3,0.059
d104_33,d104,h,3,0.059
d104_34,d104,h,3,0.059
d104_35,d104,h,3,0.059
d104_36,d104,h,3,0.059
d104_37,d104,h,3,0.059
d104_38,d104,h,3,0.059
d104_4,d104,c,27,-0.091
d104_5,d104,c,27,0.009
d104_6,d104,c,22,-0.122
d104_7,d104,c,22,-0.121
d104_8,d104,c,22,-0.121
d104_9,d104,c,27,0.009
d105_1,d105,c,22,-0.084
d105_10,d105,c,27,-0.054
d105_11,d105,c,27,0.435
d105_12,d105,n,35,-0.725
d105_13,d105,c,22,-0.084
d105_14,d105,h,3,0.176
d105_15,d105,c,22,-0.084
d105_16,d105,c,22,-0.084
d105_17,d105,c,22,0.296
d105_18,d105,n,35,-0.725
d105_19,d105,h,3,0.176
d105_2,d105,c,22,-0.084
d105_20,d105,h,3,0.176
d105_21,d105,h,3,0.176
d105_22,d105,n,38,0.845
d105_23,d105,o,40,-0.354
d105_24,d105,o,40,-0.354
d105_3,d105,c,22,-0.084
d105_4,d105,c,27,-0.054
d105_5,d105,c,27,0.046
d105_6,d105,c,22,-0.084
d105_7,d105,h,3,0.176
d105_8,d105,h,3,0.176
d105_9,d105,h,3,0.176
d106_1,d106,c,22,-0.119
d106_10,d106,c,22,-0.119
d106_11,d106,c,22,-0.119
d106_12,d106,c,27,0.011
d106_13,d106,c,27,-0.089
d106_14,d106,h,3,0.141
d106_15,d106,h,3,0.142
d106_16,d106,c,27,0.011
d106_17,d106,c,22,0.262
d106_18,d106,c,22,-0.119
d106_19,d106,h,3,0.141
d106_2,d106,c,22,-0.119
d106_20,d106,c,22,-0.119
d106_21,d106,c,22,-0.119
d106_22,d106,c,22,-0.119
d106_23,d106,h,3,0.142
d106_24,d106,h,3,0.142
d106_25,d106,n,38,0.812
d106_26,d106,o,45,-0.638
d106_27,d106,o,40,-0.388
d106_28,d106,o,40,-0.388
d106_29,d106,h,8,0.412
d106_3,d106,c,27,0.011
d106_4,d106,c,27,-0.089
d106_5,d106,c,27,0.011
d106_6,d106,c,22,-0.119
d106_7,d106,h,3,0.141
d106_8,d106,h,3,0.142
d106_9,d106,h,3,0.142
d107_1,d107,c,22,-0.115
d107_10,d107,c,22,-0.115
d107_11,d107,c,22,-0.115
d107_12,d107,c,29,0.015
d107_13,d107,h,3,0.145
d107_14,d107,c,28,0.015
d107_15,d107,c,28,0.015
d107_16,d107,c,22,-0.115
d107_17,d107,c,22,-0.115
d107_18,d107,c,22,-0.115
d107_19,d107,c,22,-0.115
d107_2,d107,c,22,-0.115
d107_20,d107,h,3,0.146
d107_21,d107,h,3,0.145
d107_22,d107,h,3,0.145
d107_23,d107,h,3,0.145
d107_24,d107,n,38,0.816
d107_25,d107,n,38,0.816
d107_26,d107,n,38,0.816
d107_27,d107,o,40,-0.384
d107_28,d107,o,40,-0.384
d107_29,d107,o,40,-0.384
d107_3,d107,c,27,0.015
d107_30,d107,o,40,-0.384
d107_31,d107,o,40,-0.384
d107_32,d107,o,40,-0.384
d107_4,d107,c,27,-0.085
d107_5,d107,c,28,0.015
d107_6,d107,c,22,-0.115
d107_7,d107,h,3,0.145
d107_8,d107,h,3,0.145
d107_9,d107,c,22,-0.115
d108_1,d108,c,22,-0.122
d108_10,d108,c,22,-0.122
d108_11,d108,c,22,-0.122
d108_12,d108,c,29,0.008
d108_13,d108,h,3,0.138
d108_14,d108,c,28,0.008
d108_15,d108,c,28,0.008
d108_16,d108,c,22,-0.122
d108_17,d108,c,22,-0.122
d108_18,d108,c,22,-0.122
d108_19,d108,c,22,-0.122
d108_2,d108,c,22,-0.122
d108_20,d108,h,3,0.138
d108_21,d108,h,3,0.138
d108_22,d108,h,3,0.138
d108_23,d108,h,3,0.138
d108_24,d108,n,38,0.809
d108_25,d108,o,40,-0.391
d108_26,d108,o,40,-0.391
d108_27,d108,h,3,0.138
d108_28,d108,h,3,0.139
d108_3,d108,c,27,0.008
d108_4,d108,c,27,-0.092
d108_5,d108,c,28,0.008
d108_6,d108,c,22,-0.122
d108_7,d108,h,3,0.139
d108_8,d108,h,3,0.139
d108_9,d108,c,22,-0.122
d109_1,d109,c,22,-0.113
d109_10,d109,c,27,-0.083
d109_11,d109,c,27,0.017
d109_12,d109,c,22,-0.113
d109_13,d109,c,22,-0.113
d109_14,d109,c,27,0.017
d109_15,d109,c,27,0.017
d109_16,d109,c,22,-0.113
d109_17,d109,c,22,-0.113
d109_18,d109,c,22,-0.113
d109_19,d109,c,22,-0.113
d109_2,d109,c,22,-0.113
d109_20,d109,c,22,-0.113
d109_21,d109,c,22,-0.113
d109_22,d109,c,22,-0.113
d109_23,d109,n,38,0.818
d109_24,d109,n,38,0.818
d109_25,d109,o,40,-0.382
d109_26,d109,o,40,-0.382
d109_27,d109,o,40,-0.382
d109_28,d109,o,40,-0.382
d109_29,d109,h,3,0.148
d109_3,d109,c,22,-0.113
d109_30,d109,h,3,0.148
d109_31,d109,h,3,0.148
d109_32,d109,h,3,0.147
d109_33,d109,h,3,0.147
d109_34,d109,h,3,0.148
d109_35,d109,h,3,0.148
d109_36,d109,h,3,0.148
d109_37,d109,h,3,0.148
d109_38,d109,h,3,0.148
d109_4,d109,c,29,0.017
d109_5,d109,c,27,-0.083
d109_6,d109,c,27,0.017
d109_7,d109,c,29,0.017
d109_8,d109,c,27,-0.083
d109_9,d109,c,27,-0.083
d10_1,d10,c,22,-0.119
d10_10,d10,c,22,-0.119
d10_11,d10,c,22,-0.118
d10_12,d10,c,29,0.011
d10_13,d10,c,10,0.011
d10_14,d10,n,38,0.812
d10_15,d10,o,40,-0.388
d10_16,d10,o,40,-0.388
d10_17,d10,c,10,0.011
d10_18,d10,h,3,0.142
d10_19,d10,h,3,0.142
d10_2,d10,c,22,-0.119
d10_20,d10,h,3,0.142
d10_21,d10,h,3,0.142
d10_22,d10,h,3,0.142
d10_23,d10,h,3,0.142
d10_24,d10,h,3,0.061
d10_25,d10,h,3,0.061
d10_26,d10,h,3,0.061
d10_27,d10,h,3,0.061
d10_28,d10,h,3,0.061
d10_3,d10,c,22,-0.119
d10_4,d10,c,29,0.011
d10_5,d10,c,22,-0.119
d10_6,d10,c,22,-0.118
d10_7,d10,c,22,-0.119
d10_8,d10,c,22,-0.119
d10_9,d10,c,22,-0.168
d110_1,d110,c,22,-0.113
d110_10,d110,c,29,0.017
d110_11,d110,c,22,-0.113
d110_12,d110,c,22,-0.113
d110_13,d110,c,22,-0.113
d110_14,d110,c,22,-0.113
d110_15,d110,c,22,-0.113
d110_16,d110,h,3,0.147
d110_17,d110,h,3,0.147
d110_18,d110,h,3,0.147
d110_19,d110,n,38,0.818
d110_2,d110,c,22,-0.113
d110_20,d110,n,38,0.818
d110_21,d110,n,38,0.818
d110_22,d110,n,38,0.818
d110_23,d110,o,40,-0.382
d110_24,d110,o,40,-0.382
d110_25,d110,o,40,-0.382
d110_26,d110,o,40,-0.383
d110_27,d110,o,40,-0.383
d110_28,d110,o,40,-0.382
d110_29,d110,o,40,-0.382
d110_3,d110,c,22,-0.113
d110_30,d110,o,40,-0.382
d110_4,d110,c,29,0.017
d110_5,d110,c,22,-0.113
d110_6,d110,c,22,-0.113
d110_7,d110,h,3,0.147
d110_8,d110,h,3,0.147
d110_9,d110,h,3,0.147
d111_1,d111,c,22,-0.122
d111_10,d111,c,14,0.238
d111_11,d111,o,41,-0.421
d111_12,d111,h,3,0.208
d111_13,d111,h,3,0.138
d111_14,d111,n,38,0.809
d111_15,d111,o,40,-0.392
d111_16,d111,o,40,-0.392
d111_2,d111,c,22,-0.122
d111_3,d111,c,22,-0.122
d111_4,d111,c,22,-0.122
d111_5,d111,c,22,0.008
d111_6,d111,c,22,-0.122
d111_7,d111,h,3,0.138
d111_8,d111,h,3,0.138
d111_9,d111,h,3,0.138
d112_1,d112,c,22,-0.125
d112_10,d112,c,22,-0.125
d112_11,d112,c,22,-0.124
d112_12,d112,c,22,-0.125
d112_13,d112,c,22,0.005
d112_14,d112,h,3,0.136
d112_15,d112,h,3,0.136
d112_16,d112,c,10,-0.095
d112_17,d112,c,10,-0.095
d112_18,d112,h,3,0.055
d112_19,d112,h,3,0.055
d112_2,d112,c,22,-0.125
d112_20,d112,h,3,0.055
d112_21,d112,h,3,0.055
d112_22,d112,n,38,0.806
d112_23,d112,o,40,-0.394
d112_24,d112,o,40,-0.394
d112_3,d112,c,27,0.005
d112_4,d112,c,27,0.005
d112_5,d112,c,22,0.005
d112_6,d112,c,22,-0.124
d112_7,d112,h,3,0.136
d112_8,d112,h,3,0.136
d112_9,d112,h,3,0.136
d113_1,d113,c,22,-0.12
d113_10,d113,n,32,-0.77
d113_11,d113,n,38,0.81
d113_12,d113,n,38,0.81
d113_13,d113,o,40,-0.39
d113_14,d113,o,40,-0.39
d113_15,d113,o,40,-0.39
d113_16,d113,o,40,-0.39
d113_17,d113,h,1,0.34
d113_18,d113,h,1,0.34
d113_2,d113,c,22,-0.12
d113_3,d113,c,22,-0.12
d113_4,d113,c,22,-0.12
d113_5,d113,c,22,0.21
d113_6,d113,c,22,-0.12
d113_7,d113,h,3,0.14
d113_8,d113,h,3,0.14
d113_9,d113,h,3,0.14
d114_1,d114,c,22,-0.128
d114_10,d114,h,3,0.132
d114_11,d114,c,29,0.002
d114_12,d114,c,22,-0.128
d114_13,d114,c,22,-0.128
d114_14,d114,c,22,-0.128
d114_15,d114,c,22,-0.128
d114_16,d114,c,22,0.202
d114_17,d114,h,3,0.132
d114_18,d114,h,3,0.132
d114_19,d114,h,3,0.132
d114_2,d114,c,22,-0.128
d114_20,d114,h,3,0.132
d114_21,d114,n,32,-0.779
d114_22,d114,n,38,0.801
d114_23,d114,o,40,-0.398
d114_24,d114,o,40,-0.398
d114_25,d114,h,1,0.332
d114_26,d114,h,1,0.332
d114_3,d114,c,22,-0.128
d114_4,d114,c,29,0.002
d114_5,d114,c,22,-0.128
d114_6,d114,c,22,-0.128
d114_7,d114,h,3,0.132
d114_8,d114,h,3,0.132
d114_9,d114,h,3,0.132
d115_1,d115,c,22,-0.122
d115_10,d115,c,10,0.108
d115_11,d115,c,16,-0.191
d115_12,d115,h,3,0.058
d115_13,d115,h,3,0.058
d115_14,d115,c,16,-0.191
d115_15,d115,h,3,0.108
d115_16,d115,h,3,0.108
d115_17,d115,n,38,0.809
d115_18,d115,o,40,-0.391
d115_19,d115,o,40,-0.391
d115_2,d115,c,22,-0.122
d115_3,d115,c,22,-0.122
d115_4,d115,c,22,0.108
d115_5,d115,c,22,-0.122
d115_6,d115,c,22,-0.122
d115_7,d115,h,3,0.139
d115_8,d115,h,3,0.139
d115_9,d115,h,3,0.139
d116_1,d116,c,22,-0.121
d116_10,d116,h,3,0.139
d116_11,d116,n,38,0.81
d116_12,d116,f,92,-0.291
d116_13,d116,o,40,-0.39
d116_14,d116,o,40,-0.39
d116_2,d116,c,22,0.31
d116_3,d116,c,22,-0.121
d116_4,d116,c,22,-0.121
d116_5,d116,c,22,-0.121
d116_6,d116,c,22,-0.121
d116_7,d116,h,3,0.139
d116_8,d116,h,3,0.139
d116_9,d116,h,3,0.139
d117_1,d117,c,22,-0.116
d117_10,d117,h,3,0.144
d117_11,d117,c,29,0.014
d117_12,d117,c,22,-0.116
d117_13,d117,c,22,-0.116
d117_14,d117,c,22,-0.116
d117_15,d117,c,22,-0.116
d117_16,d117,c,22,-0.116
d117_17,d117,h,3,0.144
d117_18,d117,h,3,0.144
d117_19,d117,h,3,0.144
d117_2,d117,c,22,-0.116
d117_20,d117,n,38,0.813
d117_21,d117,n,38,0.813
d117_22,d117,n,38,0.814
d117_23,d117,o,40,-0.386
d117_24,d117,o,40,-0.386
d117_25,d117,o,40,-0.386
d117_26,d117,o,40,-0.386
d117_27,d117,o,40,-0.386
d117_28,d117,o,40,-0.386
d117_3,d117,c,22,-0.116
d117_4,d117,c,29,0.014
d117_5,d117,c,22,-0.116
d117_6,d117,c,22,-0.116
d117_7,d117,h,3,0.144
d117_8,d117,h,3,0.144
d117_9,d117,h,3,0.144
d118_1,d118,c,10,-0.091
d118_10,d118,c,27,0.009
d118_11,d118,c,22,-0.121
d118_12,d118,c,22,-0.122
d118_13,d118,c,27,0.009
d118_14,d118,c,27,-0.091
d118_15,d118,c,27,0.009
d118_16,d118,c,22,-0.121
d118_17,d118,c,22,-0.121
d118_18,d118,c,22,-0.121
d118_19,d118,c,22,-0.121
d118_2,d118,c,10,-0.091
d118_20,d118,c,22,-0.121
d118_21,d118,n,38,0.808
d118_22,d118,o,40,-0.392
d118_23,d118,o,40,-0.392
d118_24,d118,h,3,0.138
d118_25,d118,h,3,0.138
d118_26,d118,h,3,0.138
d118_27,d118,h,3,0.138
d118_28,d118,h,3,0.138
d118_29,d118,h,3,0.138
d118_3,d118,c,22,0.009
d118_30,d118,h,3,0.138
d118_31,d118,h,3,0.059
d118_32,d118,h,3,0.059
d118_33,d118,h,3,0.059
d118_34,d118,h,3,0.059
d118_35,d118,h,3,0.059
d118_36,d118,h,3,0.059
d118_37,d118,h,3,0.059
d118_38,d118,h,3,0.059
d118_4,d118,c,22,0.009
d118_5,d118,c,10,-0.091
d118_6,d118,c,10,-0.091
d118_7,d118,c,22,-0.122
d118_8,d118,c,27,0.009
d118_9,d118,c,27,-0.091
d119_1,d119,c,22,-0.116
d119_10,d119,h,3,0.144
d119_11,d119,c,29,0.014
d119_12,d119,c,22,-0.116
d119_13,d119,c,22,-0.116
d119_14,d119,c,22,-0.116
d119_15,d119,c,22,-0.116
d119_16,d119,c,22,-0.116
d119_17,d119,h,3,0.144
d119_18,d119,h,3,0.144
d119_19,d119,h,3,0.144
d119_2,d119,c,22,-0.116
d119_20,d119,n,38,0.813
d119_21,d119,n,38,0.813
d119_22,d119,n,38,0.814
d119_23,d119,o,40,-0.386
d119_24,d119,o,40,-0.386
d119_25,d119,o,40,-0.386
d119_26,d119,o,40,-0.386
d119_27,d119,o,40,-0.386
d119_28,d119,o,40,-0.386
d119_3,d119,c,22,-0.116
d119_4,d119,c,29,0.014
d119_5,d119,c,22,-0.116
d119_6,d119,c,22,-0.116
d119_7,d119,h,3,0.144
d119_8,d119,h,3,0.144
d119_9,d119,h,3,0.144
d11_1,d11,c,22,-0.117
d11_10,d11,h,3,0.142
d11_11,d11,c,27,-0.087
d11_12,d11,c,27,0.013
d11_13,d11,c,22,-0.117
d11_14,d11,c,22,-0.117
d11_15,d11,h,3,0.143
d11_16,d11,c,22,-0.117
d11_17,d11,c,22,-0.117
d11_18,d11,c,22,-0.117
d11_19,d11,c,22,-0.117
d11_2,d11,c,22,-0.117
d11_20,d11,h,3,0.143
d11_21,d11,h,3,0.142
d11_22,d11,h,3,0.143
d11_23,d11,h,3,0.142
d11_24,d11,n,38,0.812
d11_25,d11,o,40,-0.388
d11_26,d11,o,40,-0.388
d11_3,d11,c,22,-0.117
d11_4,d11,c,195,-0.087
d11_5,d11,c,195,0.013
d11_6,d11,c,22,-0.117
d11_7,d11,h,3,0.142
d11_8,d11,h,3,0.143
d11_9,d11,h,3,0.142
d120_1,d120,c,22,-0.107
d120_10,d120,c,10,0.113
d120_11,d120,n,38,0.823
d120_12,d120,o,40,-0.377
d120_13,d120,o,40,-0.377
d120_14,d120,h,3,0.153
d120_15,d120,h,3,0.153
d120_16,d120,h,3,0.123
d120_17,d120,h,3,0.153
d120_18,d120,h,3,0.073
d120_19,d120,h,3,0.073
d120_2,d120,c,22,-0.107
d120_20,d120,h,3,0.073
d120_3,d120,c,26,0.323
d120_4,d120,c,26,0.123
d120_5,d120,c,22,-0.107
d120_6,d120,c,22,-0.107
d120_7,d120,n,34,-0.517
d120_8,d120,n,34,-0.377
d120_9,d120,c,21,-0.107
d121_1,d121,c,22,-0.115
d121_10,d121,c,22,-0.115
d121_11,d121,c,22,-0.115
d121_12,d121,c,29,0.015
d121_13,d121,h,3,0.145
d121_14,d121,c,28,0.015
d121_15,d121,c,28,0.015
d121_16,d121,c,22,-0.115
d121_17,d121,c,22,-0.115
d121_18,d121,c,22,-0.115
d121_19,d121,c,22,-0.115
d121_2,d121,c,22,-0.115
d121_20,d121,h,3,0.146
d121_21,d121,h,3,0.145
d121_22,d121,h,3,0.145
d121_23,d121,h,3,0.145
d121_24,d121,n,38,0.816
d121_25,d121,n,38,0.816
d121_26,d121,n,38,0.816
d121_27,d121,o,40,-0.384
d121_28,d121,o,40,-0.384
d121_29,d121,o,40,-0.384
d121_3,d121,c,27,0.015
d121_30,d121,o,40,-0.384
d121_31,d121,o,40,-0.384
d121_32,d121,o,40,-0.384
d121_4,d121,c,27,-0.085
d121_5,d121,c,28,0.015
d121_6,d121,c,22,-0.115
d121_7,d121,h,3,0.145
d121_8,d121,h,3,0.145
d121_9,d121,c,22,-0.115
d122_1,d122,c,22,-0.113
d122_10,d122,h,3,0.146
d122_11,d122,c,22,-0.113
d122_12,d122,c,22,-0.113
d122_13,d122,c,195,-0.083
d122_14,d122,c,195,-0.083
d122_15,d122,h,3,0.146
d122_16,d122,c,27,-0.083
d122_17,d122,c,27,0.017
d122_18,d122,c,22,-0.113
d122_19,d122,c,22,-0.113
d122_2,d122,c,22,-0.113
d122_20,d122,h,3,0.146
d122_21,d122,h,3,0.146
d122_22,d122,c,22,-0.113
d122_23,d122,c,22,-0.113
d122_24,d122,c,22,-0.113
d122_25,d122,c,22,-0.113
d122_26,d122,h,3,0.146
d122_27,d122,h,3,0.146
d122_28,d122,h,3,0.146
d122_29,d122,h,3,0.146
d122_3,d122,c,27,0.017
d122_30,d122,n,38,0.816
d122_31,d122,o,40,-0.384
d122_32,d122,o,40,-0.384
d122_4,d122,c,27,-0.083
d122_5,d122,c,22,-0.113
d122_6,d122,c,22,-0.113
d122_7,d122,h,3,0.146
d122_8,d122,h,3,0.146
d122_9,d122,h,3,0.146
d123_1,d123,c,22,-0.124
d123_10,d123,h,3,0.137
d123_11,d123,c,29,0.006
d123_12,d123,c,22,-0.124
d123_13,d123,c,22,-0.124
d123_14,d123,c,22,-0.124
d123_15,d123,c,22,-0.173
d123_16,d123,c,22,-0.124
d123_17,d123,h,3,0.136
d123_18,d123,h,3,0.136
d123_19,d123,c,10,0.006
d123_2,d123,c,22,-0.124
d123_20,d123,h,3,0.056
d123_21,d123,h,3,0.056
d123_22,d123,h,3,0.056
d123_23,d123,h,3,0.137
d123_24,d123,c,10,0.006
d123_25,d123,h,3,0.056
d123_26,d123,h,3,0.056
d123_27,d123,h,3,0.056
d123_28,d123,n,38,0.807
d123_29,d123,o,40,-0.393
d123_3,d123,c,22,-0.124
d123_30,d123,o,40,-0.393
d123_4,d123,c,29,0.006
d123_5,d123,c,22,-0.173
d123_6,d123,c,22,-0.124
d123_7,d123,h,3,0.137
d123_8,d123,h,3,0.137
d123_9,d123,h,3,0.137
d124_1,d124,c,22,-0.121
d124_10,d124,n,38,0.81
d124_11,d124,f,92,-0.291
d124_12,d124,f,92,-0.291
d124_13,d124,o,40,-0.39
d124_14,d124,o,40,-0.39
d124_2,d124,c,22,0.309
d124_3,d124,c,22,-0.121
d124_4,d124,c,22,0.31
d124_5,d124,c,22,-0.121
d124_6,d124,c,22,-0.121
d124_7,d124,h,3,0.139
d124_8,d124,h,3,0.139
d124_9,d124,h,3,0.139
d125_1,d125,c,22,-0.119
d125_10,d125,c,27,-0.089
d125_11,d125,c,27,0.011
d125_12,d125,c,22,-0.119
d125_13,d125,c,22,-0.119
d125_14,d125,c,22,-0.119
d125_15,d125,c,22,-0.119
d125_16,d125,c,22,-0.119
d125_17,d125,n,38,0.811
d125_18,d125,h,3,0.141
d125_19,d125,h,3,0.141
d125_2,d125,c,22,-0.119
d125_20,d125,h,3,0.141
d125_21,d125,h,3,0.141
d125_22,d125,h,3,0.141
d125_23,d125,h,3,0.141
d125_24,d125,h,3,0.141
d125_25,d125,h,3,0.061
d125_26,d125,h,3,0.061
d125_27,d125,h,3,0.061
d125_28,d125,h,3,0.061
d125_29,d125,o,40,-0.389
d125_3,d125,c,22,0.011
d125_30,d125,o,40,-0.389
d125_4,d125,c,195,-0.089
d125_5,d125,c,195,0.011
d125_6,d125,c,22,-0.119
d125_7,d125,c,10,-0.089
d125_8,d125,c,10,-0.089
d125_9,d125,c,22,0.011
d126_1,d126,c,22,-0.142
d126_10,d126,n,32,-0.412
d126_11,d126,c,22,0.188
d126_12,d126,c,22,0.188
d126_13,d126,n,32,-0.412
d126_14,d126,c,22,-0.142
d126_15,d126,c,22,-0.142
d126_16,d126,c,22,-0.142
d126_17,d126,c,22,-0.142
d126_18,d126,h,3,0.118
d126_19,d126,h,3,0.118
d126_2,d126,c,22,-0.142
d126_20,d126,h,3,0.118
d126_21,d126,h,1,0.288
d126_22,d126,h,1,0.288
d126_23,d126,n,38,0.787
d126_24,d126,n,38,0.787
d126_25,d126,o,40,-0.413
d126_26,d126,o,40,-0.413
d126_27,d126,o,40,-0.412
d126_28,d126,o,40,-0.412
d126_3,d126,c,22,0.188
d126_4,d126,c,22,0.188
d126_5,d126,c,22,-0.142
d126_6,d126,c,22,-0.142
d126_7,d126,h,3,0.118
d126_8,d126,h,3,0.118
d126_9,d126,h,3,0.118
d127_1,d127,c,22,-0.116
d127_10,d127,h,3,0.144
d127_11,d127,c,29,0.014
d127_12,d127,c,22,-0.116
d127_13,d127,c,22,-0.116
d127_14,d127,c,22,-0.116
d127_15,d127,c,22,-0.116
d127_16,d127,c,22,-0.116
d127_17,d127,h,3,0.144
d127_18,d127,h,3,0.144
d127_19,d127,h,3,0.144
d127_2,d127,c,22,-0.116
d127_20,d127,n,38,0.813
d127_21,d127,n,38,0.813
d127_22,d127,n,38,0.814
d127_23,d127,o,40,-0.386
d127_24,d127,o,40,-0.386
d127_25,d127,o,40,-0.386
d127_26,d127,o,40,-0.386
d127_27,d127,o,40,-0.386
d127_28,d127,o,40,-0.386
d127_3,d127,c,22,-0.116
d127_4,d127,c,29,0.014
d127_5,d127,c,22,-0.116
d127_6,d127,c,22,-0.116
d127_7,d127,h,3,0.144
d127_8,d127,h,3,0.144
d127_9,d127,h,3,0.144
d128_1,d128,c,22,-0.11
d128_10,d128,c,26,-0.08
d128_11,d128,c,21,-0.08
d128_12,d128,c,21,-0.08
d128_13,d128,h,3,0.149
d128_14,d128,h,3,0.149
d128_15,d128,h,3,0.149
d128_16,d128,h,3,0.149
d128_17,d128,h,3,0.149
d128_18,d128,h,3,0.119
d128_19,d128,h,3,0.119
d128_2,d128,c,22,-0.11
d128_20,d128,n,38,0.819
d128_21,d128,o,40,-0.381
d128_22,d128,o,40,-0.381
d128_3,d128,c,27,0.02
d128_4,d128,c,27,-0.08
d128_5,d128,c,26,-0.08
d128_6,d128,c,22,-0.11
d128_7,d128,c,22,-0.11
d128_8,d128,c,22,-0.11
d128_9,d128,c,22,-0.11
d129_1,d129,c,22,-0.122
d129_10,d129,n,32,-0.392
d129_11,d129,n,36,-0.292
d129_12,d129,h,1,0.308
